"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"39","England",4,"Female",NA,"Married","Yes","Married/living as married","No",NA,"At least once a week","BBC News","No","Yes","Labour","Labour","not very much,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Only some of the time","some difference,","Health","(Neither)","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","5 - Neither","Coming to work in Britain from countries outside the European Union","Agree","Yes, a few","WHITE: of any origin","Roman Catholic","O level or equiv","Refused information","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"40","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"A couple of times a month","Aggregator news service (e.g. Google/MSN/Virgin/BT/Yahoo/AOL/Orange)","No","Yes","Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","7","8",NA,"Agree strongly","No, none at all","ASIAN: of Indian origin","Hindu","Degree","£1,801 - 2,200 p.m.","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,"Mentioned",NA
"41","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","Yes","(Scottish) Daily Mail","Never",NA,"Yes",NA,"Conservative","Conservative","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Education","too low and cause hardship","Increase taxes and spend more on health, education etc","about right,","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","3","1","Refugees claiming asylum in Britain","Disagree","No, none at all","WHITE: of any origin","Christian - no denomination","Higher educ below degree",NA,"Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"42","England",2,"Male",NA,"Married","No","Married/living as married","Yes","Financial Times","Every day","Aggregator news service (e.g. Google/MSN/Virgin/BT/Yahoo/AOL/Orange)","No","No","None","None","... a great deal,","Can t be too careful in dealing with people",NA,"Almost never","Almost never","or, not much difference?","(None of these)",NA,"(None)","too large",NA,"I believe that climate change is taking place but not as a result of human actions","Increased a lot","7","5 - Neither",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","Degree",NA,"Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree strongly","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"43","England",3,"Male",NA,"Living with a partner","Yes","Married/living as married","Yes","(Scottish) Daily Mail","Never",NA,"No","No","None","None","some,","Can t be too careful in dealing with people","to leave things as they are,","Just about always","Only some of the time","... there is a great difference between them,","Health","(Neither)","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Remain the same as it is","1","1","SPONTANEOUS ONLY: To access benefits or housing","Neither agree nor disagree","Yes, several","WHITE: of any origin","Roman Catholic","O level or equiv","Refused information",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,NA,NA,NA,NA,NA
"44","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Once a month","Other - UK site (PLEASE WRITE IN)","No","No","Conservative","Conservative","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","... there is a great difference between them,","Help for industry","(Neither)","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","4","6",NA,"Agree","Yes, a few","WHITE: of any origin","Church of England/Anglican","A level or equiv","£1,601 - 1,800 p.m.","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"45","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Several times a day","BBC News","Yes",NA,"Labour","Labour","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","some difference,","Education",NA,"Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","5 - Neither","8","Coming to work in Britain from countries inside the European Union","Agree","Yes, a few","WHITE: of any origin","Church of England/Anglican","Degree",NA,"Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Disagree strongly","Agree","No","Looking after the home","Mentioned",NA,NA,NA,NA,NA,NA,NA
"46","England",5,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Never",NA,"No","No","Labour","Labour","some,","Can t be too careful in dealing with people","to leave the European Union,","Only some of the time","Almost never","some difference,","Roads","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","1",NA,"Disagree","No, none at all","WHITE: of any origin","No religion","A level or equiv","£1,301 - 1,600 p.m.","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"47","England",1,"Male",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","Daily Telegraph","Never",NA,"Yes",NA,"Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","5 - Neither","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification",NA,NA,NA,NA,NA,NA,NA,"Yes, trade union","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"48","England",2,"Female",NA,"Married","No","Married/living as married","Yes","Daily Mirror/ Scottish Mirror","Never",NA,"Yes",NA,"Labour","Labour","not very much,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","(Neither)","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","4","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","O level or equiv",NA,"Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"49","England",3,"Female",NA,"Married","Yes","Married/living as married","Yes","Daily Telegraph","Once a month","BBC News","Yes",NA,"Conservative","Conservative","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","2",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","Church of England/Anglican","O level or equiv","£781 - 1,100 p.m.","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"50","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","Yes","The Times","Several times a day","BBC News","No","No",NA,NA,"some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Police and prisons","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","8","8",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","Degree","£431 - 780 p.m.","Agree","Agree strongly","Agree strongly","Disagree",NA,"Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
